Play,Type,Bnt,Fl,Loc,B,R1,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2260, 17.18%,2,0
Walk,-,-,-,-,1st,2nd,891,  6.77%,1,0
Stolen base,-,-,-,-,Stays,2nd,673,  5.12%,1,0
Generic out,Grounder,-,-,6,Out,Out,293,  2.23%,3,0
Caught stealing,-,-,-,-,Stays,Out,198,  1.51%,2,0
Wild pitch,-,-,-,-,Stays,2nd,193,  1.47%,1,0
Generic out,Fly,-,-,8XD,Out,1st,181,  1.38%,2,0
Generic out,Grounder,-,-,4,Out,Out,169,  1.28%,3,0
Generic out,Grounder,-,-,56,Out,Out,155,  1.18%,3,0
Hit by pitch,-,-,-,-,1st,2nd,141,  1.07%,1,0
Generic out,Grounder,-,-,34,1st,Out,132,  1.00%,2,0
Generic out,Grounder,-,-,34,Out,Out,131,  1.00%,3,0
Single,Grounder,-,-,34,1st,2nd,126,  0.96%,1,0
Single,Grounder,-,-,56,1st,2nd,117,  0.89%,1,0
Strikeout,-,-,-,-,Out,2nd,116,  0.88%,2,0
Generic out,Fly,-,-,8D,Out,1st,115,  0.87%,2,0
Generic out,Grounder,-,-,6,1st,Out,113,  0.86%,2,0
Pickoff,-,-,-,-,Stays,Out,107,  0.81%,2,0
Generic out,Fly,-,-,9D,Out,1st,103,  0.78%,2,0
Generic out,Fly,-,-,8,Out,1st,100,  0.76%,2,0
Generic out,Grounder,-,-,4,1st,Out,99,  0.75%,2,0
Generic out,Grounder,-,-,34,Out,2nd,94,  0.71%,2,0
Generic out,Fly,-,-,7D,Out,1st,90,  0.68%,2,0
Generic out,Grounder,-,-,56,1st,Out,85,  0.65%,2,0
Generic out,Fly,-,-,78,Out,1st,83,  0.63%,2,0
Single,Grounder,-,-,6,1st,2nd,81,  0.62%,1,0
Generic out,Grounder,-,-,6M,Out,Out,78,  0.59%,3,0
Single,Grounder,-,-,34,1st,3rd,77,  0.59%,1,0
Generic out,Fly,-,-,9,Out,1st,75,  0.57%,2,0
Single,Liner,-,-,8,1st,2nd,73,  0.55%,1,0
Generic out,Fly,-,-,78D,Out,1st,73,  0.55%,2,0
Generic out,Fly,-,-,89D,Out,1st,71,  0.54%,2,0
Generic out,Fly,-,-,7,Out,1st,70,  0.53%,2,0
Single,Liner,-,-,7,1st,2nd,69,  0.52%,1,0
Generic out,Fly,-,-,89XD,Out,1st,67,  0.51%,2,0
Home run,Fly,-,-,9D,Score,Score,65,  0.49%,1,2
Generic out,Fly,-,-,78XD,Out,1st,63,  0.48%,2,0
Single,Liner,-,-,89,1st,2nd,63,  0.48%,1,0
Generic out,Fly,-,-,89,Out,1st,62,  0.47%,2,0
Single,Grounder,-,-,6M,1st,2nd,60,  0.46%,1,0
Strikeout,-,-,-,-,Out,Out,59,  0.45%,3,0
Single,Liner,-,-,9,1st,2nd,58,  0.44%,1,0
Home run,Fly,-,-,78XD,Score,Score,57,  0.43%,1,2
Generic out,Fly,-,-,7S,Out,1st,57,  0.43%,2,0
Generic out,Liner,-,-,8D,Out,1st,56,  0.43%,2,0
Generic out,Pop-up,-,Y,3F,Out,1st,55,  0.42%,2,0
Single,Liner,-,-,78,1st,2nd,54,  0.41%,1,0
Home run,Fly,-,-,7D,Score,Score,52,  0.40%,1,2
Generic out,Fly,-,-,9S,Out,1st,52,  0.40%,2,0
Generic out,Grounder,-,-,3,Out,Out,51,  0.39%,3,0
Single,Grounder,-,-,4,1st,3rd,51,  0.39%,1,0
Generic out,Fly,-,-,9L,Out,1st,49,  0.37%,2,0
Generic out,Grounder,-,-,3,Out,2nd,49,  0.37%,2,0
Generic out,Fly,-,-,8S,Out,1st,48,  0.36%,2,0
Single,Liner,-,-,8D,1st,2nd,46,  0.35%,1,0
Generic out,Liner,-,-,8XD,Out,1st,46,  0.35%,2,0
Generic out,Grounder,-,-,4M,Out,Out,44,  0.33%,3,0
Home run,Fly,-,-,7LD,Score,Score,44,  0.33%,1,2
Home run,Fly,-,-,8XD,Score,Score,43,  0.33%,1,2
Generic out,Grounder,-,-,5,Out,Out,43,  0.33%,3,0
Generic out,Liner,-,-,9D,Out,1st,43,  0.33%,2,0
Single,Grounder,-,-,4M,1st,2nd,43,  0.33%,1,0
Generic out,Grounder,-,-,6,Out,2nd,42,  0.32%,2,0
Generic out,Liner,-,-,9,Out,1st,42,  0.32%,2,0
Home run,Fly,-,-,89XD,Score,Score,42,  0.32%,1,2
Generic out,Grounder,-,-,3S,Out,2nd,42,  0.32%,2,0
Single,Liner,-,-,7S,1st,2nd,42,  0.32%,1,0
Generic out,Liner,-,-,89D,Out,1st,41,  0.31%,2,0
Generic out,Grounder,-,-,4,Out,2nd,41,  0.31%,2,0
Generic out,Pop-up,-,Y,2F,Out,1st,41,  0.31%,2,0
Generic out,Grounder,-,-,1S,Out,2nd,41,  0.31%,2,0
Generic out,Liner,-,-,8,Out,1st,41,  0.31%,2,0
Generic out,Liner,-,-,7D,Out,1st,41,  0.31%,2,0
Generic out,Fly,-,-,78S,Out,1st,40,  0.30%,2,0
Generic out,Fly,-,-,7LD,Out,1st,40,  0.30%,2,0
Generic out,Grounder,-,-,56S,Out,Out,40,  0.30%,3,0
Generic out,Pop-up,-,Y,5F,Out,1st,39,  0.30%,2,0
Generic out,Liner,-,-,78D,Out,1st,39,  0.30%,2,0
Generic out,Liner,-,-,7,Out,1st,38,  0.29%,2,0
Single,Liner,-,-,9S,1st,2nd,38,  0.29%,1,0
Home run,Fly,-,-,9LD,Score,Score,38,  0.29%,1,2
Passed ball,-,-,-,-,Stays,2nd,38,  0.29%,1,0
Generic out,Grounder,-,-,5,1st,Out,37,  0.28%,2,0
Generic out,Grounder,-,-,56,Out,2nd,35,  0.27%,2,0
Double,Liner,-,-,7LD,2nd,3rd,35,  0.27%,1,0
Generic out,Fly,-,-,9LD,Out,1st,34,  0.26%,2,0
Generic out,Liner,-,-,78,Out,1st,34,  0.26%,2,0
Double,Grounder,-,-,5,2nd,3rd,34,  0.26%,1,0
Generic out,Pop-up,-,-,34,Out,1st,33,  0.25%,2,0
Stolen base,-,-,-,-,Stays,3rd,33,  0.25%,1,0
Generic out,Grounder,-,-,56S,Out,2nd,32,  0.24%,2,0
Single,Liner,-,-,89,1st,3rd,32,  0.24%,1,0
Single,Liner,-,-,78S,1st,2nd,32,  0.24%,1,0
Generic out,Fly,-,-,9LS,Out,1st,31,  0.24%,2,0
Generic out,Grounder,-,-,3S,Out,Out,31,  0.24%,3,0
Double,Liner,-,-,9LD,2nd,3rd,31,  0.24%,1,0
Single,Grounder,-,-,3,1st,3rd,30,  0.23%,1,0
Single,Grounder,-,-,4,1st,2nd,29,  0.22%,1,0
Single,Liner,-,-,8S,1st,2nd,28,  0.21%,1,0
Generic out,Pop-up,-,-,4D,Out,1st,27,  0.21%,2,0
Generic out,Fly,-,-,7LS,Out,1st,27,  0.21%,2,0
Generic out,Grounder,-,-,2,Out,2nd,27,  0.21%,2,0
Double,Liner,-,-,7L,2nd,3rd,26,  0.20%,1,0
Generic out,Fly,-,-,89S,Out,1st,26,  0.20%,2,0
Pickoff,-,-,-,-,Stays,2nd,26,  0.20%,1,0
Single,Liner,-,-,78D,1st,2nd,25,  0.19%,1,0
Generic out,Liner,-,-,89,Out,1st,25,  0.19%,2,0
Balk,-,-,-,-,Stays,2nd,25,  0.19%,1,0
Generic out,Pop-up,-,-,6D,Out,1st,25,  0.19%,2,0
Generic out,Pop-up,-,Y,3SF,Out,1st,25,  0.19%,2,0
Single,Grounder,-,-,4M,1st,3rd,24,  0.18%,1,0
Generic out,Pop-up,-,-,4,Out,1st,23,  0.17%,2,0
Generic out,Liner,-,-,6,Out,1st,23,  0.17%,2,0
Single,Grounder,-,-,5,1st,2nd,23,  0.17%,1,0
Generic out,Pop-up,-,-,34D,Out,1st,23,  0.17%,2,0
Generic out,Grounder,-,-,5,Out,2nd,23,  0.17%,2,0
Single,Grounder,-,-,6,1st,3rd,22,  0.17%,1,0
Generic out,Grounder,-,-,6S,Out,Out,22,  0.17%,3,0
Single,Grounder,-,-,6M,1st,3rd,22,  0.17%,1,0
Generic out,Grounder,-,-,3,1st,Out,21,  0.16%,2,0
Generic out,Pop-up,-,-,56D,Out,1st,21,  0.16%,2,0
Generic out,Pop-up,-,-,56,Out,1st,21,  0.16%,2,0
Generic out,Grounder,-,-,1,Out,Out,21,  0.16%,3,0
Single,Liner,-,-,89S,1st,2nd,21,  0.16%,1,0
Generic out,Grounder,-,-,23,Out,2nd,20,  0.15%,2,0
Generic out,Grounder,-,-,56S,1st,Out,20,  0.15%,2,0
Generic out,Pop-up,-,-,3,Out,1st,19,  0.14%,2,0
Generic out,Grounder,-,-,6M,1st,Out,19,  0.14%,2,0
Generic out,Grounder,-,-,6S,1st,Out,19,  0.14%,2,0
Generic out,Fly,-,-,7L,Out,1st,19,  0.14%,2,0
Double,Liner,-,-,9L,2nd,3rd,19,  0.14%,1,0
Other advance,-,-,-,-,Stays,Out,18,  0.14%,2,0
Generic out,Pop-up,-,-,6,Out,1st,18,  0.14%,2,0
Double,Liner,-,-,78XD,2nd,Score,18,  0.14%,1,1
Defensive indifference,-,-,-,-,Stays,2nd,18,  0.14%,1,0
Single,Fly,-,-,8S,1st,2nd,18,  0.14%,1,0
Double,Liner,-,-,9D,2nd,3rd,18,  0.14%,1,0
Single,Liner,-,-,9L,1st,3rd,17,  0.13%,1,0
Single,Liner,-,-,78,1st,3rd,17,  0.13%,1,0
Single,Liner,-,-,7D,1st,2nd,17,  0.13%,1,0
Generic out,Grounder,-,-,6S,Out,2nd,17,  0.13%,2,0
Generic out,Pop-up,-,-,3D,Out,1st,17,  0.13%,2,0
Single,Grounder,-,-,3,1st,2nd,17,  0.13%,1,0
Generic out,Grounder,-,-,34S,1st,Out,17,  0.13%,2,0
Generic out,Pop-up,-,Y,5SF,Out,1st,17,  0.13%,2,0
Generic out,Pop-up,-,-,6MD,Out,1st,16,  0.12%,2,0
Generic out,Grounder,-,-,3S,1st,Out,16,  0.12%,2,0
Single,Liner,-,-,7L,1st,2nd,16,  0.12%,1,0
Double,Grounder,-,-,5,2nd,Score,16,  0.12%,1,1
Generic out,Liner,-,-,4D,Out,1st,16,  0.12%,2,0
Generic out,Grounder,-,-,34S,Out,2nd,16,  0.12%,2,0
Generic out,Liner,-,-,4,Out,1st,16,  0.12%,2,0
Generic out,Grounder,-,-,13,Out,Out,15,  0.11%,3,0
Generic out,Liner,-,-,56,Out,1st,15,  0.11%,2,0
Generic out,Liner,-,-,3,Out,Out,15,  0.11%,3,0
Single,Liner,-,-,8,1st,3rd,15,  0.11%,1,0
Single,Liner,-,-,78D,1st,3rd,14,  0.11%,1,0
Single,Liner,-,-,89D,1st,3rd,14,  0.11%,1,0
Double,Liner,-,-,7LS,2nd,3rd,14,  0.11%,1,0
Double,Liner,-,-,89XD,2nd,Score,14,  0.11%,1,1
Single,Liner,-,-,9,1st,3rd,14,  0.11%,1,0
Generic out,Liner,-,-,89XD,Out,1st,13,  0.10%,2,0
Generic out,Liner,-,-,78XD,Out,1st,13,  0.10%,2,0
Double,Liner,-,-,89D,2nd,3rd,13,  0.10%,1,0
Single,Grounder,-,-,56,1st,3rd,13,  0.10%,1,0
Single,Liner,-,-,9LS,1st,3rd,13,  0.10%,1,0
Generic out,Grounder,-,-,4M,1st,Out,13,  0.10%,2,0
Generic out,Grounder,-,-,1S,Out,Out,13,  0.10%,3,0
Double,Liner,-,-,7LD,2nd,Score,13,  0.10%,1,1
Generic out,Pop-up,-,-,5,Out,1st,13,  0.10%,2,0
Generic out,Pop-up,-,-,4MD,Out,1st,13,  0.10%,2,0
Generic out,Grounder,-,-,13,Out,2nd,12,  0.09%,2,0
Generic out,Liner,-,-,34,Out,1st,12,  0.09%,2,0
Fielder's choice,Grounder,-,-,6,1st,2nd,12,  0.09%,1,0
Generic out,Liner,-,-,9LD,Out,1st,12,  0.09%,2,0
Single,Fly,-,-,89S,1st,2nd,12,  0.09%,1,0
Double,Grounder,-,-,3,2nd,3rd,12,  0.09%,1,0
Generic out,Fly,-,-,8XD,Out,2nd,11,  0.08%,2,0
Generic out,Fly,-,-,6D,Out,1st,11,  0.08%,2,0
Double,Liner,-,-,78XD,2nd,3rd,11,  0.08%,1,0
Generic out,Fly,-,-,4D,Out,1st,11,  0.08%,2,0
Single,Grounder,-,-,56S,1st,2nd,11,  0.08%,1,0
Single,Fly,-,-,7S,1st,2nd,11,  0.08%,1,0
Single,Fly,-,-,78S,1st,2nd,11,  0.08%,1,0
Generic out,Pop-up,-,-,5D,Out,1st,11,  0.08%,2,0
Generic out,Grounder,-,-,6MS,1st,Out,11,  0.08%,2,0
Single,Liner,-,-,56D,1st,2nd,10,  0.08%,1,0
Double,Fly,-,-,9LD,2nd,3rd,10,  0.08%,1,0
Fielder's choice,Grounder,-,-,56,1st,2nd,10,  0.08%,1,0
Single,Grounder,-,-,25,1st,2nd,10,  0.08%,1,0
Generic out,Grounder,-,-,25,Out,2nd,10,  0.08%,2,0
Double,Liner,-,-,8XD,2nd,3rd,10,  0.08%,1,0
Double,Liner,-,-,9LS,2nd,3rd,10,  0.08%,1,0
Single,Fly,-,-,8,1st,2nd,10,  0.08%,1,0
Single,Grounder,Y,-,25,1st,2nd,10,  0.08%,1,0
Generic out,Grounder,-,-,6M,Out,2nd,10,  0.08%,2,0
Generic out,Pop-up,-,-,4M,Out,1st,9,  0.07%,2,0
Single,Liner,-,-,8D,1st,3rd,9,  0.07%,1,0
Interference,-,-,-,-,1st,2nd,9,  0.07%,1,0
Double,Liner,-,-,89XD,2nd,3rd,9,  0.07%,1,0
Double,Fly,-,-,89XD,2nd,3rd,9,  0.07%,1,0
Generic out,Grounder,-,-,1S,1st,Out,9,  0.07%,2,0
Single,Liner,-,-,89S,1st,3rd,9,  0.07%,1,0
Generic out,Pop-up,-,Y,3DF,Out,1st,9,  0.07%,2,0
Single,Liner,-,-,89D,1st,2nd,8,  0.06%,1,0
Single,Grounder,Y,-,2,1st,2nd,8,  0.06%,1,0
Generic out,Liner,-,-,6D,Out,1st,8,  0.06%,2,0
Generic out,Grounder,-,-,6MS,Out,Out,8,  0.06%,3,0
Double,Liner,-,-,89D,2nd,Score,8,  0.06%,1,1
Double,Fly,-,-,78XD,2nd,3rd,8,  0.06%,1,0
Single,Liner,-,-,9S,1st,3rd,8,  0.06%,1,0
Generic out,Pop-up,-,-,23,Out,1st,8,  0.06%,2,0
Generic out,Fly,-,Y,9LSF,Out,1st,8,  0.06%,2,0
Double,Liner,-,-,9L,2nd,Score,8,  0.06%,1,1
Generic out,Liner,-,-,34,Out,Out,8,  0.06%,3,0
Generic out,Grounder,-,-,6MS,Out,2nd,8,  0.06%,2,0
Generic out,Grounder,-,-,13,1st,Out,8,  0.06%,2,0
Generic out,Liner,-,-,5,Out,1st,8,  0.06%,2,0
Home run,Liner,-,-,7D,Score,Score,8,  0.06%,1,2
Generic out,Liner,-,-,9L,Out,1st,7,  0.05%,2,0
Home run,Liner,-,-,9D,Score,Score,7,  0.05%,1,2
Double,Liner,-,-,78D,2nd,3rd,7,  0.05%,1,0
Generic out,Fly,-,Y,9LF,Out,1st,7,  0.05%,2,0
Single,Grounder,-,-,6S,1st,2nd,7,  0.05%,1,0
Pickoff,-,-,-,-,Stays,3rd,7,  0.05%,1,0
Single,Liner,-,-,7LS,1st,2nd,7,  0.05%,1,0
Generic out,Pop-up,-,-,34S,Out,1st,7,  0.05%,2,0
Fielder's choice,Grounder,-,-,4,1st,2nd,7,  0.05%,1,0
Double,Liner,-,-,78D,2nd,Score,7,  0.05%,1,1
Generic out,Grounder,-,-,4M,Out,2nd,7,  0.05%,2,0
Single,Liner,-,-,9D,1st,2nd,7,  0.05%,1,0
Double,Fly,-,-,7LD,2nd,3rd,7,  0.05%,1,0
Fielder's choice,Grounder,-,-,34,1st,2nd,7,  0.05%,1,0
Single,Liner,-,-,8S,1st,3rd,7,  0.05%,1,0
Generic out,Grounder,-,-,34S,Out,Out,7,  0.05%,3,0
Double,Liner,-,-,7D,2nd,3rd,7,  0.05%,1,0
Generic out,Fly,-,-,56D,Out,1st,7,  0.05%,2,0
Generic out,Pop-up,-,-,8S,Out,1st,7,  0.05%,2,0
Single,Fly,-,-,7LS,1st,2nd,7,  0.05%,1,0
Home run,Liner,-,-,9LD,Score,Score,7,  0.05%,1,2
Double,Liner,-,-,9LD,2nd,Score,6,  0.05%,1,1
Generic out,Liner,-,-,4D,Out,Out,6,  0.05%,3,0
Generic out,Grounder,-,-,4MD,Out,Out,6,  0.05%,3,0
Generic out,Grounder,-,-,4MS,Out,2nd,6,  0.05%,2,0
Generic out,Grounder,-,-,5S,Out,2nd,6,  0.05%,2,0
Generic out,Liner,-,-,4MD,Out,1st,6,  0.05%,2,0
Generic out,Grounder,-,-,1,1st,Out,6,  0.05%,2,0
Double,Fly,-,-,9D,2nd,3rd,6,  0.05%,1,0
Strikeout,-,-,-,-,Out,3rd,6,  0.05%,2,0
Generic out,Grounder,Y,-,1S,Out,2nd,6,  0.05%,2,0
Generic out,Liner,-,-,9S,Out,1st,6,  0.05%,2,0
Generic out,Liner,-,-,6M,Out,1st,6,  0.05%,2,0
Single,Fly,-,-,9LS,1st,2nd,6,  0.05%,1,0
Generic out,Pop-up,-,-,6S,Out,1st,6,  0.05%,2,0
Generic out,Fly,-,-,34D,Out,1st,6,  0.05%,2,0
Generic out,Grounder,-,-,4S,Out,2nd,5,  0.04%,2,0
Generic out,Liner,-,-,56,Out,Out,5,  0.04%,3,0
Triple,Liner,-,-,9LD,3rd,Score,5,  0.04%,1,1
Generic out,Grounder,-,-,34D,Out,2nd,5,  0.04%,2,0
Generic out,Grounder,-,-,6D,Out,Out,5,  0.04%,3,0
Fielder's choice,Grounder,-,-,6M,1st,2nd,5,  0.04%,1,0
Generic out,Pop-up,-,-,4S,Out,1st,5,  0.04%,2,0
Generic out,Fly,-,-,5D,Out,1st,5,  0.04%,2,0
