Play,Type,Bnt,Fl,Loc,B,R1,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,937, 19.98%,2,0
Walk,-,-,-,-,1st,2nd,3rd,336,  7.17%,1,0
Generic out,Grounder,-,-,6,Out,Out,2nd,93,  1.98%,3,0
Wild pitch,-,-,-,-,Stays,2nd,3rd,86,  1.83%,1,0
Generic out,Grounder,-,-,4,Out,Out,2nd,68,  1.45%,3,0
Stolen base,-,-,-,-,Stays,2nd,3rd,63,  1.34%,1,0
Generic out,Grounder,-,-,56,Out,Out,2nd,60,  1.28%,3,0
Generic out,Grounder,-,-,34,1st,Out,3rd,59,  1.26%,2,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,57,  1.22%,1,0
Generic out,Grounder,-,-,3,Out,2nd,3rd,56,  1.19%,2,0
Generic out,Grounder,-,-,34,Out,Out,2nd,54,  1.15%,3,0
Generic out,Grounder,-,-,6,1st,Out,3rd,44,  0.94%,2,0
Generic out,Grounder,-,-,6M,Out,Out,2nd,42,  0.90%,3,0
Generic out,Fly,-,-,8XD,Out,1st,3rd,40,  0.85%,2,0
Generic out,Grounder,-,-,3,1st,Out,3rd,37,  0.79%,2,0
Generic out,Fly,-,-,9D,Out,1st,3rd,31,  0.66%,2,0
Generic out,Fly,-,-,78D,Out,1st,2nd,30,  0.64%,2,0
Generic out,Fly,-,-,8,Out,1st,2nd,30,  0.64%,2,0
Generic out,Grounder,-,-,56,1st,Out,3rd,29,  0.62%,2,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,28,  0.60%,2,0
Generic out,Fly,-,-,8D,Out,1st,2nd,27,  0.58%,2,0
Generic out,Fly,-,-,8XD,Out,1st,2nd,27,  0.58%,2,0
Generic out,Liner,-,-,8D,Out,1st,2nd,26,  0.55%,2,0
Single,Grounder,-,-,56,1st,2nd,Score,26,  0.55%,1,1
Home run,Fly,-,-,7D,Score,Score,Score,26,  0.55%,1,3
Generic out,Fly,-,-,78S,Out,1st,2nd,25,  0.53%,2,0
Generic out,Fly,-,-,78,Out,1st,2nd,24,  0.51%,2,0
Single,Grounder,-,-,34,1st,2nd,3rd,24,  0.51%,1,0
