Play,Type,Bnt,Fl,Loc,B,R1,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,3rd,332, 16.06%,2,0
Stolen base,-,-,-,-,Stays,2nd,3rd,123,  5.95%,1,0
Walk,-,-,-,-,1st,2nd,3rd,123,  5.95%,1,0
Generic out,Grounder,-,-,6,Out,Out,3rd,44,  2.13%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,30,  1.45%,1,0
Generic out,Grounder,-,-,6,1st,Out,Score,23,  1.11%,2,1
Generic out,Grounder,-,-,56,Out,Out,3rd,23,  1.11%,3,0
Generic out,Fly,-,-,89XD,Out,1st,Score,23,  1.11%,2,1
Generic out,Fly,-,-,8XD,Out,1st,Score,22,  1.06%,2,1
Generic out,Grounder,-,-,4,Out,Out,3rd,22,  1.06%,3,0
Generic out,Grounder,-,-,34,Out,Out,3rd,21,  1.02%,3,0
Generic out,Grounder,-,-,56,1st,Out,Score,19,  0.92%,2,1
Single,Liner,-,-,8,1st,2nd,Score,18,  0.87%,1,1
Strikeout,-,-,-,-,Out,2nd,3rd,17,  0.82%,2,0
Single,Grounder,-,-,34,1st,2nd,Score,17,  0.82%,1,1
Single,Grounder,-,-,6,1st,2nd,Score,16,  0.77%,1,1
Intentional walk,-,-,-,-,1st,2nd,3rd,16,  0.77%,1,0
Wild pitch,-,-,-,-,Stays,2nd,Score,16,  0.77%,1,1
Generic out,Grounder,-,-,4,1st,Out,Score,16,  0.77%,2,1
Single,Grounder,-,-,56,1st,2nd,Score,16,  0.77%,1,1
Wild pitch,-,-,-,-,Stays,2nd,3rd,15,  0.73%,1,0
Generic out,Fly,-,-,9D,Out,1st,Score,15,  0.73%,2,1
Generic out,Fly,-,-,89D,Out,1st,Score,14,  0.68%,2,1
Generic out,Grounder,-,-,34,Out,2nd,Score,14,  0.68%,2,1
Generic out,Fly,-,-,7D,Out,1st,Score,13,  0.63%,2,1
Single,Liner,-,-,7S,1st,2nd,Score,13,  0.63%,1,1
Generic out,Grounder,-,-,34,1st,Out,Score,13,  0.63%,2,1
Generic out,Fly,-,-,8D,Out,1st,Score,13,  0.63%,2,1
Generic out,Grounder,-,-,6M,Out,Out,3rd,12,  0.58%,3,0
Single,Liner,-,-,7,1st,2nd,Score,11,  0.53%,1,1
Generic out,Grounder,-,-,5,Out,Out,3rd,11,  0.53%,3,0
Generic out,Fly,-,-,9,Out,1st,Score,11,  0.53%,2,1
Generic out,Pop-up,-,Y,3F,Out,1st,3rd,10,  0.48%,2,0
Generic out,Grounder,-,-,56S,Out,Out,3rd,10,  0.48%,3,0
Defensive indifference,-,-,-,-,Stays,2nd,3rd,10,  0.48%,1,0
Single,Grounder,-,-,4,1st,3rd,Score,10,  0.48%,1,1
Generic out,Fly,-,-,78S,Out,1st,3rd,9,  0.44%,2,0
Single,Liner,-,-,78,1st,2nd,Score,9,  0.44%,1,1
Caught stealing,-,-,-,-,Stays,Out,3rd,9,  0.44%,2,0
Generic out,Grounder,-,-,4,Out,2nd,Score,9,  0.44%,2,1
Single,Liner,-,-,8D,1st,2nd,Score,8,  0.39%,1,1
Generic out,Fly,-,-,8,Out,1st,Score,8,  0.39%,2,1
Home run,Fly,-,-,89XD,Score,Score,Score,8,  0.39%,1,3
Single,Grounder,-,-,34,1st,3rd,Score,8,  0.39%,1,1
Generic out,Pop-up,-,-,34D,Out,1st,3rd,8,  0.39%,2,0
Generic out,Fly,-,-,78D,Out,1st,Score,7,  0.34%,2,1
Generic out,Pop-up,-,Y,2F,Out,1st,3rd,7,  0.34%,2,0
Generic out,Grounder,-,-,6,Out,2nd,Score,7,  0.34%,2,1
Generic out,Fly,-,-,7LD,Out,1st,Score,7,  0.34%,2,1
Generic out,Liner,-,-,7D,Out,1st,Score,7,  0.34%,2,1
Single,Grounder,-,-,4M,1st,3rd,Score,7,  0.34%,1,1
Home run,Fly,-,-,7D,Score,Score,Score,7,  0.34%,1,3
Double,Liner,-,-,7LD,2nd,3rd,Score,7,  0.34%,1,1
Generic out,Liner,-,-,8XD,Out,1st,Score,7,  0.34%,2,1
Generic out,Fly,-,-,8S,Out,1st,3rd,7,  0.34%,2,0
Home run,Fly,-,-,9LD,Score,Score,Score,6,  0.29%,1,3
Generic out,Fly,-,-,89S,Out,1st,3rd,6,  0.29%,2,0
Generic out,Fly,-,-,9LD,Out,1st,Score,6,  0.29%,2,1
Generic out,Pop-up,-,-,4,Out,1st,3rd,6,  0.29%,2,0
Generic out,Fly,-,-,78XD,Out,1st,Score,6,  0.29%,2,1
Single,Grounder,Y,-,23,1st,2nd,Score,6,  0.29%,1,1
Generic out,Fly,-,-,89,Out,1st,Score,6,  0.29%,2,1
Generic out,Liner,-,-,9,Out,1st,Score,6,  0.29%,2,1
Generic out,Grounder,Y,-,23,Out,2nd,Score,5,  0.24%,2,1
Generic out,Pop-up,-,-,34,Out,1st,3rd,5,  0.24%,2,0
Fielder's choice,Grounder,-,-,56S,1st,2nd,Out,5,  0.24%,2,0
Generic out,Fly,-,-,8XD,Out,2nd,Score,5,  0.24%,2,1
Generic out,Fly,-,-,9S,Out,1st,3rd,5,  0.24%,2,0
Generic out,Liner,-,-,89D,Out,1st,Score,5,  0.24%,2,1
Generic out,Grounder,-,-,3,Out,2nd,Score,5,  0.24%,2,1
Generic out,Pop-up,-,Y,5SF,Out,1st,3rd,5,  0.24%,2,0
Generic out,Fly,-,-,7,Out,1st,Score,5,  0.24%,2,1
Home run,Fly,-,-,9D,Score,Score,Score,5,  0.24%,1,3
Generic out,Liner,-,-,8D,Out,1st,Score,5,  0.24%,2,1
Home run,Fly,-,-,8XD,Score,Score,Score,5,  0.24%,1,3
Single,Liner,-,-,89S,1st,2nd,Score,5,  0.24%,1,1
Single,Liner,-,-,8,1st,3rd,Score,5,  0.24%,1,1
Generic out,Fly,-,-,7S,Out,1st,3rd,5,  0.24%,2,0
Generic out,Liner,-,-,78D,Out,1st,Score,5,  0.24%,2,1
Generic out,Grounder,-,-,23,Out,2nd,Score,5,  0.24%,2,1
Single,Grounder,-,-,6M,1st,2nd,Score,5,  0.24%,1,1
Stolen base,-,-,-,-,Stays,3rd,Score,5,  0.24%,1,1
Double,Liner,-,-,8XD,2nd,3rd,Score,5,  0.24%,1,1
Generic out,Liner,-,-,9D,Out,1st,Score,4,  0.19%,2,1
Double,Liner,-,-,7L,2nd,3rd,Score,4,  0.19%,1,1
Double,Liner,-,-,89XD,2nd,3rd,Score,4,  0.19%,1,1
Generic out,Grounder,-,-,3S,1st,Out,Score,4,  0.19%,2,1
Generic out,Fly,-,-,9,Out,2nd,Score,4,  0.19%,2,1
Generic out,Grounder,-,-,5,1st,Out,Score,4,  0.19%,2,1
Generic out,Pop-up,-,Y,3SF,Out,1st,3rd,4,  0.19%,2,0
Generic out,Grounder,-,-,56S,Out,2nd,Score,4,  0.19%,2,1
Strikeout,-,-,-,-,Out,Out,3rd,4,  0.19%,3,0
Generic out,Grounder,-,-,6S,1st,Out,Score,4,  0.19%,2,1
Single,Grounder,-,-,3,1st,3rd,Score,4,  0.19%,1,1
Generic out,Fly,-,-,78,Out,2nd,Score,4,  0.19%,2,1
Pickoff,-,-,-,-,Stays,2nd,Score,4,  0.19%,1,1
Single,Liner,-,-,9S,1st,2nd,Score,4,  0.19%,1,1
Generic out,Grounder,-,-,3S,Out,2nd,Score,4,  0.19%,2,1
Generic out,Grounder,-,-,6S,Out,2nd,Score,4,  0.19%,2,1
Generic out,Grounder,-,-,4M,Out,Out,3rd,4,  0.19%,3,0
Single,Grounder,-,-,4,1st,2nd,Score,4,  0.19%,1,1
Generic out,Pop-up,-,-,6MD,Out,1st,3rd,4,  0.19%,2,0
Single,Liner,-,-,89,1st,3rd,Score,4,  0.19%,1,1
Fielder's choice,Grounder,-,-,34S,1st,2nd,Out,4,  0.19%,2,0
Generic out,Fly,-,-,78,Out,1st,Score,4,  0.19%,2,1
Fielder's choice,Grounder,-,-,1S,1st,2nd,Out,4,  0.19%,2,0
Pickoff,-,-,-,-,Stays,Out,3rd,4,  0.19%,2,0
Generic out,Fly,-,-,8D,Out,2nd,Score,4,  0.19%,2,1
Generic out,Pop-up,-,Y,5F,Out,1st,3rd,4,  0.19%,2,0
Single,Liner,-,-,89,1st,2nd,Score,4,  0.19%,1,1
Single,Liner,-,-,9,1st,2nd,Score,4,  0.19%,1,1
Fielder's choice,Grounder,-,-,34S,1st,2nd,Score,3,  0.15%,1,1
Generic out,Liner,-,-,6D,Out,1st,3rd,3,  0.15%,2,0
Fielder's choice,Grounder,-,-,3,1st,2nd,Out,3,  0.15%,2,0
Generic out,Grounder,-,-,3,Out,Out,3rd,3,  0.15%,3,0
Fielder's choice,Grounder,-,-,3S,1st,2nd,Out,3,  0.15%,2,0
Single,Fly,-,-,8S,1st,2nd,Score,3,  0.15%,1,1
Double,Liner,-,-,89XD,2nd,Score,Score,3,  0.15%,1,2
Single,Fly,-,-,89S,1st,2nd,Score,3,  0.15%,1,1
Double,Grounder,-,-,3,2nd,3rd,Score,3,  0.15%,1,1
Generic out,Fly,-,-,8,Out,1st,3rd,3,  0.15%,2,0
Generic out,Fly,-,-,7L,Out,1st,Score,3,  0.15%,2,1
Single,Liner,-,-,8S,1st,2nd,Score,3,  0.15%,1,1
Home run,Fly,-,-,78XD,Score,Score,Score,3,  0.15%,1,3
Generic out,Grounder,-,-,2,Out,2nd,3rd,3,  0.15%,2,0
Strikeout,-,-,-,-,Out,2nd,Score,3,  0.15%,2,1
Single,Liner,-,-,78D,1st,3rd,Score,3,  0.15%,1,1
Fielder's choice,Grounder,Y,-,2,1st,2nd,Out,3,  0.15%,2,0
Single,Grounder,-,-,25,1st,2nd,Score,3,  0.15%,1,1
Fielder's choice,Grounder,Y,-,23,1st,2nd,Out,3,  0.15%,2,0
Walk,-,-,-,-,1st,2nd,Score,3,  0.15%,1,1
Single,Liner,-,-,89D,1st,2nd,Score,3,  0.15%,1,1
Single,Liner,-,-,9,1st,3rd,Score,3,  0.15%,1,1
Generic out,Grounder,-,-,6M,1st,Out,Score,3,  0.15%,2,1
Generic out,Grounder,-,-,1S,Out,Out,3rd,3,  0.15%,3,0
Fielder's choice,Grounder,-,-,1,1st,2nd,Out,3,  0.15%,2,0
Home run,Fly,-,-,7LD,Score,Score,Score,3,  0.15%,1,3
Single,Liner,-,-,78S,1st,3rd,Score,3,  0.15%,1,1
Generic out,Pop-up,-,Y,3DF,Out,1st,3rd,3,  0.15%,2,0
Generic out,Fly,-,-,8,Out,2nd,Score,3,  0.15%,2,1
Double,Liner,-,-,9LS,2nd,3rd,Score,3,  0.15%,1,1
Single,Liner,-,-,7L,1st,3rd,Score,3,  0.15%,1,1
Generic out,Grounder,-,-,56S,1st,Out,Score,3,  0.15%,2,1
Single,Liner,-,-,9L,1st,3rd,Score,3,  0.15%,1,1
Fielder's choice,Grounder,-,-,56,1st,2nd,Out,3,  0.15%,2,0
Generic out,Liner,-,-,3S,Out,Out,3rd,3,  0.15%,3,0
Double,Liner,-,-,9L,2nd,3rd,Score,3,  0.15%,1,1
Generic out,Fly,-,-,7,Out,2nd,Score,3,  0.15%,2,1
Generic out,Grounder,-,-,1S,1st,Out,Score,3,  0.15%,2,1
Fielder's choice,Grounder,Y,-,23,1st,2nd,Score,3,  0.15%,1,1
Pickoff,-,-,-,-,Stays,1st,Out,3,  0.15%,2,0
Generic out,Liner,-,-,78,Out,1st,Score,3,  0.15%,2,1
Single,Liner,-,-,89D,1st,3rd,Score,3,  0.15%,1,1
Generic out,Grounder,-,-,3S,Out,Out,3rd,3,  0.15%,3,0
Generic out,Pop-up,-,-,3,Out,1st,3rd,3,  0.15%,2,0
Generic out,Fly,-,-,7LD,Out,2nd,Score,3,  0.15%,2,1
Stolen base,-,-,-,-,Stays,2nd,Score,3,  0.15%,1,1
Single,Liner,-,-,9L,1st,2nd,Score,3,  0.15%,1,1
Double,Grounder,-,-,5,2nd,Score,Score,3,  0.15%,1,2
Interference,-,-,-,-,1st,2nd,3rd,3,  0.15%,1,0
Generic out,Pop-up,-,Y,5DF,Out,1st,3rd,2,  0.10%,2,0
Single,Grounder,-,-,6,1st,3rd,Score,2,  0.10%,1,1
Double,Liner,-,-,8XD,2nd,Score,Score,2,  0.10%,1,2
Triple,Liner,-,-,89XD,3rd,Score,Score,2,  0.10%,1,2
Generic out,Grounder,-,-,6S,Out,Out,3rd,2,  0.10%,3,0
Fielder's choice,Grounder,-,-,4,1st,2nd,Out,2,  0.10%,2,0
Generic out,Fly,-,-,78,Out,1st,3rd,2,  0.10%,2,0
Generic out,Pop-up,-,-,4MD,Out,1st,3rd,2,  0.10%,2,0
Double,Liner,-,-,7LS,2nd,3rd,Score,2,  0.10%,1,1
Generic out,Fly,-,-,4D,Out,1st,3rd,2,  0.10%,2,0
Generic out,Liner,-,-,9,Out,1st,3rd,2,  0.10%,2,0
Triple,Fly,-,-,8XD,3rd,Score,Score,2,  0.10%,1,2
Generic out,Grounder,-,-,13,Out,Out,3rd,2,  0.10%,3,0
Balk,-,-,-,-,Stays,2nd,Score,2,  0.10%,1,1
Generic out,Grounder,-,-,1S,Out,2nd,Score,2,  0.10%,2,1
Generic out,Pop-up,-,-,6D,Out,1st,3rd,2,  0.10%,2,0
Fielder's choice,Grounder,-,-,34,1st,2nd,Score,2,  0.10%,1,1
Single,Grounder,-,-,5S,1st,2nd,Score,2,  0.10%,1,1
Single,Liner,-,-,78D,2nd,3rd,Score,2,  0.10%,1,1
Double,Liner,-,-,78D,2nd,3rd,Score,2,  0.10%,1,1
Generic out,Fly,-,-,9LS,Out,1st,3rd,2,  0.10%,2,0
Single,Liner,-,-,7D,1st,2nd,Score,2,  0.10%,1,1
Generic out,Liner,-,-,4M,Out,1st,3rd,2,  0.10%,2,0
Generic out,Pop-up,-,-,34S,Out,1st,3rd,2,  0.10%,2,0
Generic out,Grounder,-,-,1,Out,2nd,Score,2,  0.10%,2,1
Single,Grounder,Y,-,34S,1st,2nd,Score,2,  0.10%,1,1
Generic out,Liner,-,-,6M,Out,1st,3rd,2,  0.10%,2,0
Generic out,Pop-up,-,-,3D,Out,1st,3rd,2,  0.10%,2,0
Generic out,Grounder,-,-,4MS,Out,2nd,Score,2,  0.10%,2,1
Generic out,Liner,-,-,34,Out,1st,3rd,2,  0.10%,2,0
Single,Liner,-,-,8S,1st,3rd,Score,2,  0.10%,1,1
Generic out,Liner,-,-,8,Out,1st,Score,2,  0.10%,2,1
Generic out,Fly,-,-,89,Out,1st,Out,2,  0.10%,3,0
Double,Liner,-,-,78D,2nd,Score,Score,2,  0.10%,1,2
Fielder's choice,Grounder,-,-,6,1st,2nd,Score,2,  0.10%,1,1
Single,Fly,-,-,78,1st,2nd,Score,2,  0.10%,1,1
Single,Grounder,Y,-,23,2nd,3rd,Score,2,  0.10%,1,1
Generic out,Fly,-,-,78XD,Out,2nd,Score,2,  0.10%,2,1
Single,Grounder,Y,-,2,1st,2nd,Score,2,  0.10%,1,1
Generic out,Pop-up,Y,Y,3SF,Out,1st,3rd,2,  0.10%,2,0
Single,Liner,-,-,9S,1st,3rd,Score,2,  0.10%,1,1
Generic out,Grounder,-,-,4,2nd,Out,Score,2,  0.10%,2,1
Home run,Liner,-,-,7D,Score,Score,Score,2,  0.10%,1,3
Single,Liner,-,-,9D,1st,2nd,Score,2,  0.10%,1,1
Fielder's choice,Grounder,-,-,56S,1st,2nd,Score,2,  0.10%,1,1
Double,Liner,-,-,7L,2nd,Score,Score,2,  0.10%,1,2
Generic out,Pop-up,-,-,56D,Out,1st,3rd,2,  0.10%,2,0
Home run,Liner,-,-,9LD,Score,Score,Score,2,  0.10%,1,3
Generic out,Pop-up,-,-,6,Out,1st,3rd,2,  0.10%,2,0
Generic out,Grounder,-,-,56,Out,2nd,Score,2,  0.10%,2,1
Single,Liner,-,-,78D,1st,2nd,Score,2,  0.10%,1,1
Single,Grounder,-,-,56S,1st,2nd,Score,2,  0.10%,1,1
Fielder's choice,Grounder,-,-,2,1st,2nd,Out,2,  0.10%,2,0
Passed ball,-,-,-,-,Stays,2nd,Score,2,  0.10%,1,1
Single,Liner,-,-,9LS,1st,3rd,Score,2,  0.10%,1,1
Single,Liner,-,-,34D,1st,2nd,Score,2,  0.10%,1,1
Fielder's choice,Grounder,Y,-,1S,1st,2nd,Out,2,  0.10%,2,0
Generic out,Fly,-,-,6D,Out,1st,3rd,2,  0.10%,2,0
Generic out,Pop-up,Y,-,1S,Out,1st,3rd,2,  0.10%,2,0
Generic out,Grounder,-,-,25,Out,2nd,Score,2,  0.10%,2,1
Double,Fly,-,-,7D,2nd,3rd,Score,2,  0.10%,1,1
Generic out,Fly,-,-,78D,Out,2nd,Score,2,  0.10%,2,1
Generic out,Liner,-,-,7S,Out,1st,Score,2,  0.10%,2,1
Wild pitch,-,-,-,-,Stays,1st,Score,2,  0.10%,1,1
Fielder's choice,Grounder,-,-,6MS,1st,2nd,Out,2,  0.10%,2,0
Double,Liner,-,-,78XD,2nd,3rd,Score,2,  0.10%,1,1
