Play,Type,Bnt,Fl,Loc,B,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,1090, 20.05%,2,0
Walk,-,-,-,-,1st,2nd,563, 10.36%,1,0
Generic out,Grounder,-,-,34,Out,3rd,172,  3.16%,2,0
Generic out,Grounder,-,-,3,Out,3rd,131,  2.41%,2,0
Generic out,Grounder,-,-,56,Out,2nd,114,  2.10%,2,0
Stolen base,-,-,-,-,Stays,3rd,105,  1.93%,1,0
Generic out,Grounder,-,-,4,Out,3rd,105,  1.93%,2,0
Generic out,Grounder,-,-,6,Out,3rd,93,  1.71%,2,0
Wild pitch,-,-,-,-,Stays,3rd,81,  1.49%,1,0
Generic out,Grounder,-,-,6,Out,2nd,79,  1.45%,2,0
Intentional walk,-,-,-,-,1st,2nd,70,  1.29%,1,0
Hit by pitch,-,-,-,-,1st,2nd,56,  1.03%,1,0
Generic out,Grounder,-,-,5,Out,2nd,45,  0.83%,2,0
Generic out,Fly,-,-,8D,Out,2nd,44,  0.81%,2,0
Generic out,Fly,-,-,78D,Out,2nd,43,  0.79%,2,0
Generic out,Fly,-,-,8XD,Out,3rd,41,  0.75%,2,0
Generic out,Fly,-,-,9D,Out,3rd,39,  0.72%,2,0
Generic out,Fly,-,-,7D,Out,2nd,37,  0.68%,2,0
Caught stealing,-,-,-,-,Stays,Out,33,  0.61%,2,0
Generic out,Grounder,-,-,6M,Out,3rd,32,  0.59%,2,0
Single,Grounder,-,-,56,1st,3rd,31,  0.57%,1,0
Generic out,Fly,-,-,78,Out,2nd,31,  0.57%,2,0
Home run,Fly,-,-,7D,Score,Score,30,  0.55%,1,2
Generic out,Grounder,-,-,56S,Out,2nd,29,  0.53%,2,0
Single,Grounder,-,-,34,1st,Score,29,  0.53%,1,1
Generic out,Grounder,-,-,4M,Out,3rd,28,  0.52%,2,0
Generic out,Fly,-,-,7,Out,2nd,28,  0.52%,2,0
Generic out,Fly,-,-,8,Out,2nd,28,  0.52%,2,0
Generic out,Fly,-,-,89XD,Out,3rd,27,  0.50%,2,0
Single,Grounder,-,-,6M,1st,Score,27,  0.50%,1,1
Single,Grounder,-,-,4,1st,Score,25,  0.46%,1,1
Home run,Fly,-,-,89XD,Score,Score,24,  0.44%,1,2
Home run,Fly,-,-,9D,Score,Score,23,  0.42%,1,2
Single,Grounder,-,-,34,1st,3rd,22,  0.40%,1,0
Generic out,Fly,-,-,9,Out,2nd,22,  0.40%,2,0
Pickoff,-,-,-,-,Stays,Out,22,  0.40%,2,0
Generic out,Liner,-,-,7D,Out,2nd,22,  0.40%,2,0
Single,Liner,-,-,78,1st,Score,21,  0.39%,1,1
Generic out,Pop-up,-,Y,3F,Out,2nd,21,  0.39%,2,0
Generic out,Fly,-,-,89D,Out,3rd,20,  0.37%,2,0
Generic out,Liner,-,-,9,Out,2nd,20,  0.37%,2,0
Generic out,Pop-up,-,Y,2F,Out,2nd,20,  0.37%,2,0
Generic out,Fly,-,-,89,Out,2nd,20,  0.37%,2,0
Double,Liner,-,-,9LD,2nd,Score,20,  0.37%,1,1
Generic out,Fly,-,-,8XD,Out,2nd,19,  0.35%,2,0
Double,Liner,-,-,7LD,2nd,Score,19,  0.35%,1,1
Generic out,Pop-up,-,Y,5F,Out,2nd,18,  0.33%,2,0
Generic out,Liner,-,-,8D,Out,2nd,18,  0.33%,2,0
Single,Liner,-,-,8,1st,Score,18,  0.33%,1,1
Home run,Fly,-,-,78XD,Score,Score,17,  0.31%,1,2
Generic out,Grounder,-,-,56,Out,3rd,17,  0.31%,2,0
Home run,Fly,-,-,9LD,Score,Score,17,  0.31%,1,2
Double,Grounder,-,-,5,2nd,Score,17,  0.31%,1,1
Generic out,Fly,-,-,9S,Out,2nd,17,  0.31%,2,0
Generic out,Liner,-,-,89D,Out,2nd,17,  0.31%,2,0
Generic out,Liner,-,-,8,Out,2nd,17,  0.31%,2,0
Double,Liner,-,-,89XD,2nd,Score,16,  0.29%,1,1
Single,Grounder,-,-,4M,1st,Score,16,  0.29%,1,1
Generic out,Grounder,-,-,6S,Out,3rd,16,  0.29%,2,0
Single,Liner,-,-,89,1st,Score,16,  0.29%,1,1
Walk,-,-,-,-,1st,3rd,16,  0.29%,1,0
Generic out,Liner,-,-,7,Out,2nd,16,  0.29%,2,0
Generic out,Pop-up,-,-,6D,Out,2nd,15,  0.28%,2,0
Fielder's choice,Grounder,-,-,6,1st,Out,15,  0.28%,2,0
Generic out,Fly,-,-,7L,Out,2nd,15,  0.28%,2,0
Single,Grounder,-,-,6,1st,3rd,15,  0.28%,1,0
Generic out,Fly,-,-,9LD,Out,3rd,15,  0.28%,2,0
Generic out,Fly,-,-,78XD,Out,3rd,15,  0.28%,2,0
Generic out,Liner,-,-,78,Out,2nd,15,  0.28%,2,0
Single,Liner,-,-,8,1st,3rd,15,  0.28%,1,0
Generic out,Fly,-,-,89S,Out,2nd,15,  0.28%,2,0
Passed ball,-,-,-,-,Stays,3rd,15,  0.28%,1,0
Balk,-,-,-,-,Stays,3rd,14,  0.26%,1,0
Generic out,Pop-up,-,-,6,Out,2nd,14,  0.26%,2,0
Single,Grounder,-,-,6,1st,Score,14,  0.26%,1,1
Single,Liner,-,-,7,1st,3rd,14,  0.26%,1,0
Double,Liner,-,-,9L,2nd,Score,14,  0.26%,1,1
Generic out,Fly,-,-,7LS,Out,2nd,14,  0.26%,2,0
Generic out,Fly,-,-,78XD,Out,2nd,13,  0.24%,2,0
Generic out,Pop-up,-,-,34D,Out,2nd,13,  0.24%,2,0
Generic out,Grounder,-,-,2,Out,3rd,13,  0.24%,2,0
Single,Liner,-,-,78S,1st,3rd,13,  0.24%,1,0
Single,Liner,-,-,9,1st,Score,12,  0.22%,1,1
Generic out,Pop-up,-,-,4,Out,2nd,12,  0.22%,2,0
Generic out,Liner,-,-,3,Out,2nd,12,  0.22%,2,0
Single,Liner,-,-,9,1st,3rd,12,  0.22%,1,0
Generic out,Grounder,-,-,1S,Out,3rd,12,  0.22%,2,0
Single,Grounder,-,-,4M,1st,3rd,12,  0.22%,1,0
Generic out,Fly,-,-,7S,Out,2nd,12,  0.22%,2,0
Generic out,Liner,-,-,9D,Out,3rd,12,  0.22%,2,0
Single,Liner,-,-,7S,1st,3rd,12,  0.22%,1,0
Single,Liner,-,-,89D,1st,Score,11,  0.20%,1,1
Generic out,Grounder,-,-,6MS,Out,3rd,11,  0.20%,2,0
Generic out,Pop-up,-,-,4D,Out,2nd,11,  0.20%,2,0
Home run,Fly,-,-,7LD,Score,Score,10,  0.18%,1,2
Home run,Fly,-,-,8XD,Score,Score,10,  0.18%,1,2
Generic out,Fly,-,-,8S,Out,2nd,10,  0.18%,2,0
Single,Liner,-,-,7,1st,Score,10,  0.18%,1,1
Double,Liner,-,-,78XD,2nd,Score,10,  0.18%,1,1
Generic out,Fly,-,-,89D,Out,2nd,10,  0.18%,2,0
Generic out,Liner,-,-,78D,Out,2nd,10,  0.18%,2,0
Generic out,Fly,-,-,9,Out,3rd,10,  0.18%,2,0
Generic out,Fly,-,-,8D,Out,3rd,10,  0.18%,2,0
Single,Liner,-,-,78,1st,3rd,10,  0.18%,1,0
Generic out,Liner,-,-,56,Out,2nd,10,  0.18%,2,0
