Play,Type,Bnt,Fl,Loc,B,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,3rd,341, 20.91%,2,0
Walk,-,-,-,-,1st,2nd,3rd,144,  8.83%,1,0
Intentional walk,-,-,-,-,1st,2nd,3rd,67,  4.11%,1,0
Generic out,Grounder,-,-,34,Out,3rd,Score,30,  1.84%,2,1
Generic out,Fly,-,-,8XD,Out,3rd,Score,18,  1.10%,2,1
Single,Grounder,-,-,6,1st,3rd,Score,16,  0.98%,1,1
Generic out,Grounder,-,-,4,Out,3rd,Score,14,  0.86%,2,1
Hit by pitch,-,-,-,-,1st,2nd,3rd,14,  0.86%,1,0
Single,Grounder,-,-,56,1st,3rd,Score,12,  0.74%,1,1
Generic out,Grounder,-,-,6,Out,3rd,Score,11,  0.67%,2,1
Single,Grounder,-,-,4,1st,3rd,Score,11,  0.67%,1,1
Generic out,Fly,-,-,8D,Out,2nd,Score,11,  0.67%,2,1
Generic out,Pop-up,-,Y,3F,Out,2nd,3rd,11,  0.67%,2,0
Generic out,Fly,-,-,89XD,Out,3rd,Score,10,  0.61%,2,1
Generic out,Fly,-,-,78D,Out,2nd,Score,10,  0.61%,2,1
Home run,Fly,-,-,78XD,Score,Score,Score,10,  0.61%,1,3
Generic out,Fly,-,-,78S,Out,2nd,3rd,9,  0.55%,2,0
Single,Grounder,-,-,34,1st,Score,Score,9,  0.55%,1,2
Generic out,Grounder,-,-,3,Out,3rd,Score,9,  0.55%,2,1
Fielder's choice,Grounder,-,-,34,1st,3rd,Out,9,  0.55%,2,0
Generic out,Fly,-,-,9S,Out,2nd,3rd,8,  0.49%,2,0
Home run,Fly,-,-,7D,Score,Score,Score,8,  0.49%,1,3
Single,Grounder,-,-,4,1st,Score,Score,8,  0.49%,1,2
Generic out,Grounder,-,-,6,Out,2nd,Score,8,  0.49%,2,1
Generic out,Liner,-,-,8D,Out,2nd,Score,8,  0.49%,2,1
Generic out,Grounder,-,-,56,Out,3rd,Score,8,  0.49%,2,1
Single,Grounder,-,-,34,1st,3rd,Score,8,  0.49%,1,1
Wild pitch,-,-,-,-,Stays,3rd,Score,8,  0.49%,1,1
Generic out,Fly,-,-,8D,Out,3rd,Score,8,  0.49%,2,1
Single,Liner,-,-,7,1st,3rd,Score,8,  0.49%,1,1
Home run,Fly,-,-,9D,Score,Score,Score,8,  0.49%,1,3
Generic out,Fly,-,-,78XD,Out,3rd,Score,8,  0.49%,2,1
Generic out,Liner,-,-,34,Out,2nd,3rd,7,  0.43%,2,0
Generic out,Fly,-,-,9D,Out,3rd,Score,7,  0.43%,2,1
Single,Grounder,-,-,4M,1st,Score,Score,7,  0.43%,1,2
Generic out,Fly,-,-,89D,Out,3rd,Score,7,  0.43%,2,1
Generic out,Grounder,-,-,56,Out,2nd,Score,7,  0.43%,2,1
Single,Grounder,-,-,6,1st,Score,Score,7,  0.43%,1,2
Generic out,Grounder,-,-,6S,Out,2nd,3rd,7,  0.43%,2,0
Generic out,Fly,-,-,9,Out,3rd,Score,7,  0.43%,2,1
Generic out,Fly,-,-,9L,Out,3rd,Score,7,  0.43%,2,1
Home run,Fly,-,-,7LD,Score,Score,Score,6,  0.37%,1,3
Fielder's choice,Grounder,-,-,6S,1st,3rd,Out,6,  0.37%,2,0
Generic out,Grounder,-,-,4M,Out,3rd,Score,6,  0.37%,2,1
Fielder's choice,Grounder,-,-,56S,1st,3rd,Out,6,  0.37%,2,0
Generic out,Fly,-,-,7D,Out,2nd,Score,6,  0.37%,2,1
Generic out,Fly,-,-,89D,Out,2nd,Score,6,  0.37%,2,1
Single,Liner,-,-,9,1st,3rd,Score,6,  0.37%,1,1
Single,Liner,-,-,89,1st,3rd,Score,6,  0.37%,1,1
Double,Liner,-,-,78XD,2nd,Score,Score,6,  0.37%,1,2
Generic out,Fly,-,-,7S,Out,2nd,3rd,6,  0.37%,2,0
Double,Grounder,-,-,3,2nd,Score,Score,6,  0.37%,1,2
Generic out,Fly,-,-,7L,Out,2nd,Score,6,  0.37%,2,1
Generic out,Fly,-,-,7,Out,2nd,Score,6,  0.37%,2,1
Home run,Fly,-,-,9LD,Score,Score,Score,6,  0.37%,1,3
Single,Liner,-,-,9S,1st,3rd,Score,6,  0.37%,1,1
Double,Grounder,-,-,5,2nd,Score,Score,6,  0.37%,1,2
Generic out,Pop-up,-,Y,5F,Out,2nd,3rd,5,  0.31%,2,0
Single,Liner,-,-,8,1st,3rd,Score,5,  0.31%,1,1
Generic out,Fly,-,-,7LD,Out,2nd,Score,5,  0.31%,2,1
Fielder's choice,Grounder,-,-,6,1st,3rd,Out,5,  0.31%,2,0
Generic out,Fly,-,-,8,Out,2nd,Score,5,  0.31%,2,1
Generic out,Fly,-,-,89S,Out,2nd,3rd,5,  0.31%,2,0
Generic out,Grounder,-,-,56S,Out,2nd,3rd,5,  0.31%,2,0
Generic out,Liner,-,-,78D,Out,2nd,Score,5,  0.31%,2,1
Single,Liner,-,-,89D,1st,Score,Score,5,  0.31%,1,2
Single,Grounder,-,-,6M,1st,Score,Score,5,  0.31%,1,2
Double,Liner,-,-,9L,2nd,Score,Score,5,  0.31%,1,2
Generic out,Fly,-,-,8,Out,2nd,3rd,5,  0.31%,2,0
Fielder's choice,Grounder,-,-,4,1st,3rd,Score,5,  0.31%,1,1
Generic out,Grounder,-,-,6M,Out,3rd,Score,4,  0.25%,2,1
Generic out,Grounder,-,-,13,Out,3rd,Score,4,  0.25%,2,1
Single,Liner,-,-,78,1st,Score,Score,4,  0.25%,1,2
Home run,Fly,-,-,89XD,Score,Score,Score,4,  0.25%,1,3
Single,Liner,-,-,89S,1st,3rd,Score,4,  0.25%,1,1
Fielder's choice,Grounder,-,-,1S,1st,3rd,Out,4,  0.25%,2,0
Generic out,Grounder,-,-,1S,Out,3rd,Score,4,  0.25%,2,1
Generic out,Grounder,-,-,3S,Out,3rd,Score,4,  0.25%,2,1
Generic out,Grounder,-,-,3,Out,2nd,3rd,4,  0.25%,2,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,4,  0.25%,2,0
Pickoff,-,-,-,-,Stays,2nd,Out,4,  0.25%,2,0
Generic out,Pop-up,-,Y,2F,Out,2nd,3rd,4,  0.25%,2,0
Generic out,Liner,-,-,9D,Out,3rd,Score,4,  0.25%,2,1
Generic out,Grounder,-,-,56S,Out,2nd,Score,4,  0.25%,2,1
Single,Liner,-,-,8,1st,Score,Score,4,  0.25%,1,2
Generic out,Liner,-,-,8,Out,2nd,Score,4,  0.25%,2,1
Generic out,Grounder,-,-,4,Out,2nd,3rd,4,  0.25%,2,0
Fielder's choice,Grounder,-,-,34,1st,3rd,Score,4,  0.25%,1,1
