Play,Type,Bnt,Fl,Loc,B,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,3rd,575, 21.78%,3,0
Walk,-,-,-,-,1st,3rd,265, 10.04%,2,0
Generic out,Grounder,-,-,6,Out,3rd,111,  4.20%,3,0
Generic out,Grounder,-,-,34,Out,3rd,94,  3.56%,3,0
Intentional walk,-,-,-,-,1st,3rd,69,  2.61%,2,0
Generic out,Grounder,-,-,56,Out,3rd,69,  2.61%,3,0
Generic out,Grounder,-,-,3,Out,3rd,53,  2.01%,3,0
Generic out,Grounder,-,-,4,Out,3rd,49,  1.86%,3,0
Generic out,Fly,-,-,8XD,Out,3rd,35,  1.33%,3,0
Wild pitch,-,-,-,-,Stays,Score,28,  1.06%,2,1
Generic out,Fly,-,-,8D,Out,3rd,27,  1.02%,3,0
Single,Grounder,-,-,4,1st,Score,25,  0.95%,2,1
Generic out,Fly,-,-,9,Out,3rd,23,  0.87%,3,0
Single,Grounder,-,-,56,1st,Score,22,  0.83%,2,1
Single,Grounder,-,-,34,1st,Score,22,  0.83%,2,1
Generic out,Grounder,-,-,1S,Out,3rd,20,  0.76%,3,0
Hit by pitch,-,-,-,-,1st,3rd,20,  0.76%,2,0
Generic out,Fly,-,-,78,Out,3rd,20,  0.76%,3,0
Single,Grounder,-,-,6,1st,Score,19,  0.72%,2,1
Generic out,Fly,-,-,9D,Out,3rd,19,  0.72%,3,0
Single,Grounder,-,-,6M,1st,Score,19,  0.72%,2,1
Generic out,Fly,-,-,8,Out,3rd,19,  0.72%,3,0
Single,Liner,-,-,8,1st,Score,18,  0.68%,2,1
Single,Liner,-,-,78,1st,Score,18,  0.68%,2,1
Generic out,Fly,-,-,89,Out,3rd,18,  0.68%,3,0
Generic out,Fly,-,-,89D,Out,3rd,17,  0.64%,3,0
Generic out,Grounder,-,-,5,Out,3rd,16,  0.61%,3,0
Generic out,Fly,-,-,78D,Out,3rd,16,  0.61%,3,0
Generic out,Liner,-,-,8D,Out,3rd,16,  0.61%,3,0
Generic out,Fly,-,-,7D,Out,3rd,15,  0.57%,3,0
Single,Liner,-,-,89,1st,Score,15,  0.57%,2,1
Generic out,Fly,-,-,9LD,Out,3rd,14,  0.53%,3,0
Generic out,Grounder,-,-,4M,Out,3rd,14,  0.53%,3,0
Generic out,Grounder,-,-,56S,Out,3rd,14,  0.53%,3,0
Generic out,Fly,-,-,7,Out,3rd,13,  0.49%,3,0
Double,Liner,-,-,7LD,2nd,Score,13,  0.49%,2,1
Generic out,Fly,-,-,89XD,Out,3rd,13,  0.49%,3,0
Single,Liner,-,-,9,1st,Score,13,  0.49%,2,1
Generic out,Liner,-,-,7,Out,3rd,13,  0.49%,3,0
Generic out,Grounder,-,-,6S,Out,3rd,13,  0.49%,3,0
Single,Liner,-,-,7,1st,Score,12,  0.45%,2,1
Single,Grounder,-,-,4M,1st,Score,12,  0.45%,2,1
Generic out,Liner,-,-,89D,Out,3rd,12,  0.45%,3,0
Generic out,Liner,-,-,78D,Out,3rd,12,  0.45%,3,0
Generic out,Grounder,-,-,6M,Out,3rd,12,  0.45%,3,0
Single,Liner,-,-,89D,1st,Score,11,  0.42%,2,1
Home run,Fly,-,-,9LD,Score,Score,11,  0.42%,2,2
Generic out,Grounder,-,-,1,Out,3rd,11,  0.42%,3,0
Generic out,Fly,-,-,7L,Out,3rd,10,  0.38%,3,0
Generic out,Fly,-,-,9S,Out,3rd,10,  0.38%,3,0
Generic out,Fly,-,-,78XD,Out,3rd,10,  0.38%,3,0
Generic out,Liner,-,-,8XD,Out,3rd,10,  0.38%,3,0
Generic out,Fly,-,-,9L,Out,3rd,10,  0.38%,3,0
Home run,Fly,-,-,9D,Score,Score,9,  0.34%,2,2
Generic out,Fly,-,-,78S,Out,3rd,9,  0.34%,3,0
Generic out,Liner,-,-,7D,Out,3rd,9,  0.34%,3,0
Generic out,Fly,-,-,7S,Out,3rd,9,  0.34%,3,0
Generic out,Liner,-,-,9D,Out,3rd,8,  0.30%,3,0
Single,Liner,-,-,7S,1st,Score,8,  0.30%,2,1
Double,Liner,-,-,78XD,2nd,Score,8,  0.30%,2,1
Generic out,Pop-up,-,Y,5SF,Out,3rd,8,  0.30%,3,0
Single,Liner,-,-,9S,1st,Score,8,  0.30%,2,1
Generic out,Liner,-,-,9,Out,3rd,8,  0.30%,3,0
Home run,Fly,-,-,7D,Score,Score,7,  0.27%,2,2
Generic out,Liner,-,-,3,Out,3rd,7,  0.27%,3,0
Generic out,Liner,-,-,89XD,Out,3rd,7,  0.27%,3,0
Generic out,Fly,-,-,89S,Out,3rd,7,  0.27%,3,0
Double,Liner,-,-,9L,2nd,Score,7,  0.27%,2,1
Single,Liner,-,-,78D,1st,Score,7,  0.27%,2,1
Double,Liner,-,-,7L,2nd,Score,7,  0.27%,2,1
Generic out,Fly,-,-,8S,Out,3rd,7,  0.27%,3,0
Generic out,Fly,-,-,9LS,Out,3rd,7,  0.27%,3,0
Generic out,Pop-up,-,-,6D,Out,3rd,7,  0.27%,3,0
Home run,Fly,-,-,8XD,Score,Score,7,  0.27%,2,2
Generic out,Liner,-,-,89,Out,3rd,7,  0.27%,3,0
Single,Liner,-,-,7L,1st,Score,7,  0.27%,2,1
Generic out,Fly,-,-,7LS,Out,3rd,7,  0.27%,3,0
Generic out,Liner,-,-,6,Out,3rd,7,  0.27%,3,0
Generic out,Grounder,-,-,34S,Out,3rd,6,  0.23%,3,0
Generic out,Pop-up,-,-,4,Out,3rd,6,  0.23%,3,0
Generic out,Grounder,-,-,13,Out,3rd,6,  0.23%,3,0
Generic out,Grounder,-,-,2,Out,3rd,6,  0.23%,3,0
Home run,Fly,-,-,89XD,Score,Score,6,  0.23%,2,2
Single,Liner,-,-,8D,1st,Score,6,  0.23%,2,1
Generic out,Grounder,-,-,6D,Out,3rd,6,  0.23%,3,0
Double,Grounder,-,-,5,2nd,Score,6,  0.23%,2,1
Generic out,Pop-up,-,-,4D,Out,3rd,6,  0.23%,3,0
Home run,Fly,-,-,78XD,Score,Score,6,  0.23%,2,2
Generic out,Pop-up,-,Y,2F,Out,3rd,6,  0.23%,3,0
Home run,Fly,-,-,7LD,Score,Score,5,  0.19%,2,2
Generic out,Pop-up,-,Y,3F,Out,3rd,5,  0.19%,3,0
Single,Liner,-,-,78S,1st,Score,5,  0.19%,2,1
Generic out,Liner,-,-,4D,Out,3rd,5,  0.19%,3,0
Double,Liner,-,-,89D,2nd,Score,5,  0.19%,2,1
Double,Fly,-,-,7LD,2nd,Score,5,  0.19%,2,1
Generic out,Liner,-,-,8,Out,3rd,5,  0.19%,3,0
