Play,Type,Bnt,Fl,Loc,B,R1,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,3rd,437, 22.67%,3,0
Walk,-,-,-,-,1st,2nd,3rd,Score,150,  7.78%,2,1
Generic out,Grounder,-,-,4,Out,1st,2nd,3rd,40,  2.07%,3,0
Generic out,Grounder,-,-,3,Out,1st,2nd,3rd,38,  1.97%,3,0
Generic out,Grounder,-,-,6,1st,Out,2nd,3rd,38,  1.97%,3,0
Generic out,Grounder,-,-,34,Out,1st,2nd,3rd,36,  1.87%,3,0
Generic out,Grounder,-,-,6,Out,1st,2nd,3rd,36,  1.87%,3,0
Generic out,Grounder,-,-,56,Out,1st,2nd,3rd,28,  1.45%,3,0
Wild pitch,-,-,-,-,Stays,2nd,3rd,Score,24,  1.24%,2,1
Generic out,Fly,-,-,8XD,Out,1st,2nd,3rd,23,  1.19%,3,0
Generic out,Fly,-,-,8D,Out,1st,2nd,3rd,22,  1.14%,3,0
Generic out,Fly,-,-,9D,Out,1st,2nd,3rd,22,  1.14%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,Score,18,  0.93%,2,1
Generic out,Fly,-,-,7D,Out,1st,2nd,3rd,17,  0.88%,3,0
Generic out,Grounder,-,-,56,1st,Out,2nd,3rd,16,  0.83%,3,0
Generic out,Fly,-,-,9,Out,1st,2nd,3rd,16,  0.83%,3,0
Home run,Fly,-,-,7D,Score,Score,Score,Score,14,  0.73%,2,4
Generic out,Grounder,-,-,6M,1st,Out,2nd,3rd,14,  0.73%,3,0
Generic out,Liner,-,-,9,Out,1st,2nd,3rd,12,  0.62%,3,0
Single,Grounder,-,-,56,1st,2nd,Score,Score,12,  0.62%,2,2
Generic out,Fly,-,-,78,Out,1st,2nd,3rd,12,  0.62%,3,0
Single,Grounder,-,-,34,1st,3rd,Score,Score,11,  0.57%,2,2
Generic out,Fly,-,-,8,Out,1st,2nd,3rd,11,  0.57%,3,0
Generic out,Fly,-,-,78XD,Out,1st,2nd,3rd,11,  0.57%,3,0
Generic out,Grounder,-,-,56,1st,1st,Out,3rd,10,  0.52%,3,0
Generic out,Fly,-,-,89XD,Out,1st,2nd,3rd,10,  0.52%,3,0
Generic out,Fly,-,-,7S,Out,1st,2nd,3rd,10,  0.52%,3,0
Generic out,Pop-up,-,-,4D,Out,1st,2nd,3rd,10,  0.52%,3,0
Generic out,Pop-up,-,Y,3F,Out,1st,2nd,3rd,10,  0.52%,3,0
Home run,Fly,-,-,89XD,Score,Score,Score,Score,10,  0.52%,2,4
Generic out,Fly,-,-,78D,Out,1st,2nd,3rd,10,  0.52%,3,0
Generic out,Grounder,-,-,1S,Out,1st,2nd,3rd,10,  0.52%,3,0
Home run,Fly,-,-,9D,Score,Score,Score,Score,10,  0.52%,2,4
Single,Liner,-,-,8,1st,2nd,Score,Score,10,  0.52%,2,2
Generic out,Fly,-,-,89S,Out,1st,2nd,3rd,9,  0.47%,3,0
Generic out,Fly,-,-,89D,Out,1st,2nd,3rd,9,  0.47%,3,0
Single,Grounder,-,-,6M,1st,2nd,Score,Score,8,  0.41%,2,2
Single,Grounder,-,-,56,1st,2nd,3rd,Score,8,  0.41%,2,1
Single,Liner,-,-,78,1st,2nd,Score,Score,8,  0.41%,2,2
Generic out,Liner,-,-,9D,Out,1st,2nd,3rd,8,  0.41%,3,0
Generic out,Fly,-,-,7L,Out,1st,2nd,3rd,8,  0.41%,3,0
Generic out,Fly,-,-,78S,Out,1st,2nd,3rd,8,  0.41%,3,0
Generic out,Fly,-,-,9L,Out,1st,2nd,3rd,8,  0.41%,3,0
Generic out,Grounder,-,-,6S,Out,1st,2nd,3rd,7,  0.36%,3,0
